1.  SEDAN TYPE SALES                                                                                                                            `JAN-DEC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2018
,,BRAND ,TYPE MODEL,CC ,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD ,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG ,SEP,OCT,NOV,DEC,,,
,,BMW,YH12 X2 SDRIVE18I,1500,AT,-,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,0%,0%,5
,,CHEVROLET,Aveo 1.4 LT,1398,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,Thailand,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,Spark 1.4L,1400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,South Korea,8,12,6,18,20,2,-,25,16,12,7,20,0%,0%,146
,,,Trax 1.4L,1398,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,South Korea,92,88,210,90,122,71,146,98,106,103,106,222,0.3%,0.2%,1454
,,DAIHATSU,Great New Xenia X MT,1298,MT,G,45,1050,5125,-,92,2655,4140X1660X1695,7,4X2,FR,-,5,4,CKD,INA,1711,932,964,1317,1390,193,1276,850,823,1062,951,1084,2.5%,2%,12553
,,,Great New Xenia X AT,1298,AT,G,45,1050,5125,-,92,2655,4140X1660X1695,7,4X2,FR,-,5,4,CKD,INA,93,186,88,62,89,30,108,149,91,134,88,81,0.2%,0.2%,1199
,,,Great New Xenia R MT,1298,MT,G,45,1065,5125,-,92,2655,4140X1660X1695,7,4X2,FR,-,5,4,CKD,INA,1913,1166,1026,1501,1400,261,1353,907,928,1404,1111,1181,2.9%,2.2%,14151
,,,Great New Xenia R AT,1298,AT,G,45,1080,5571,-,92,2655,4140X1660X1695,7,4X2,FR,-,5,4,CKD,INA,195,245,98,61,203,40,160,117,127,154,121,97,0.3%,0.3%,1618
,,,All New Sirion 1.3 MT 2018,1298,MT,G,40,930,4267,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,-,80,85,35,40,35,45,40,30,-,99,51,0.1%,0.1%,540
,,,All New Sirion 1.3 AT 2018,1298,AT,G,40,940,4032,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia,-,120,85,35,40,35,105,90,40,-,210,40,0.2%,0.1%,800
,,,Gran Max BV,1298,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,514,522,573,722,552,300,898,797,674,972,1027,744,1.7%,1.3%,8295
,,,"Gran Max BV 1,5",1500,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA,-,-,-,-,56,-,-,29,-,-,45,202,0.1%,0.1%,332
,,,Gran Max HI FF,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA,50,87,84,373,237,96,305,153,92,109,36,9,0.3%,0.3%,1631
,,,Gran Max HI,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,235,186,376,454,708,142,533,436,327,327,222,187,0.8%,0.7%,4133
,,,Gran Max HI,1495,MT,G,43,1840,4875,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA,140,118,104,121,202,38,149,115,185,218,159,249,0.4%,0.3%,1798
