NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,,,BRAND,,,,MODEL,,,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,SPEED,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
1      CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Nepal),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Nepal),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Cambodia),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Mauritius),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Mauritius),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (TTC EA RHD),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (TTC EA RHD),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Cabo Verde),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Cabo Verde),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Antigua),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Barbados),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (G Cayman),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Dominican),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Mesir),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (ST Kits),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Uruguay),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Uruguay),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Trinidad),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Seychelles),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Curacao),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Aruba),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Bahamas),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Guyana),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Haiti),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Suriname),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Madagascar),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Madagascar),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Timor Leste),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Myanmar),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Laos),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Srilanka),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Ghana),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Grenada),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (St. Marteen),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (P.N.G),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Ecuador),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Vietnam),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Nigeria),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Peru),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Peru),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Yemen),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (New Caledonia),,,"1,496",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
