GAIKINDO IMPORT DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,`JAN-DEC  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,,IMPORTER,BRAND,MODEL,CC,TRANS,FUEL,TANK,GVW,GEAR,W HEEL &,PS/HP,W HEEL,DIMENSI ON,SEATER,DRIVE SYS.,,SPEED,DOOR,W HEELS,CBU / CKD / COMP,ORIGIN,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
,,,,,,(AT/MT),(G/D),CAPT,(Kg),RATIO,TYRE SIZE,,BASE,P x L x T,,,,,,,,COUNTRY,,,,,,,,,,,,,
1,CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Triton 2.5L SC HDX (4X4) M,2477,MT,D,75,2760,4636,245/75/R16,178,3000,5080 X 1815 X 1795,5,4X4,4WD,165,4,4,CBU,Thailand,95,452,312,170,135,241,180,347,164,337,425,141,"2,999"
,,,,Triton 2.5L SC GLX (4X2) MT,2500,MT,D,75,2550,4636,245/ 75 R16,97,3000,5040 X 1750 X 1775,2,4X2,FR,141,2,4,CBU,Thailand,-,-,1,-,-,-,-,-,-,-,-,-,1
,,,,TOTAL,,,,,,,,,,,,,,,,,,,253,"1,633","1,096",442,577,"2,627","2,214","1,759","1,304","3,157","1,879","1,055","17,996"
,6,PT. KRAMA YUDHA TIGA BERLIAN MOTORS,MITSUBISHI FUSO,FI 1217 (4X2) M/T,3907,MT,D,160,12700,6330,"8.25-20,16 PR",170,3760,3.760 X 6.035 X 2.225,3,4X2,FR,80,2,6,CBU,India,-,-,-,-,-,-,-,-,,,,,-
,,,,FJ 2523 (6X2) M/T,6373,MT,D,380,25000,5875,10/R20/ 16PR,230,7050,11.967X2490X2960,3,6X2,FR,90,2,10,CBU,India,14,-,-,-,-,-,-,-,,,,,14
,,,,TOTAL,,,,,,,,,,,,,,,,,,,14,-,-,-,-,-,-,-,-,-,-,-,14
,7,PT. ASTRA DAIHATSU MOTOR,DAIHATSU,All New Sirion MT 2018,1329,MT,G,36,980,4267,185/55 R15,95,2500,3895X1735X1525,5,4X2,FF,-,5,4,CBU,Malaysia,40,50,70,70,30,30,10,10,10,10,10,-,340
,,,,All New Sirion AT 2018,1329,AT,G,36,1000,4032,185/55 R15,95,2500,3895X1735X1525,5,4X2,FF,-,5,4,CBU,Malaysia,60,100,130,90,180,69,231,160,150,130,160,-,"1,460"
,,,,TOTAL,,,,,,,,,,,,,,,,,,,100,150,200,160,210,99,241,170,160,140,170,-,"1,800"
,8,PT. TJAHJA SAKTI MOTOR,BMW,BMW 8 series,3000-6000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,-,2,-,-,1,-,2,1,-,-,-,6
,,,,BMW 7 series,3000-6000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,-,-,-,-,-,1,-,-,-,-,-,1
,,,,BMW 6 series,-,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,3,-,-,-,3
,,,,BMW 5 series,3500,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,-,-,1,2,1,1,3,-,-,-,-,8
,,,,BMW 4 series,-,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CBU,Germany,-,-,-,2,-,-,-,-,2,-,-,-,4
