NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,IMPORTER,BRAND,MODEL,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)","GEAR
RATIO","WHEEL &
TYRE SIZE",PS/HP,"WHEEL
BASE","DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,"CBU / CKD /
COMP","ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
CBU IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Triton 2.5L Sc Glx  (4X2) Mt,"2,442",MT,D,75,"2,760","4,090",205R16C 110/80R 8PR,136,"3,000",5100 X 1815 X 1780,2,4X2,FR,-,2,4,CBU,Thailand,25,2,73,-,4,2,12,-,8,-,-,-,126
,,,TOTAL,,,,,,,,,,,,,,,,,,,"1,110",502,"2,996",372,"1,063","2,323","2,864","4,600","2,964","2,795","1,335","2,026","24,950"
6,PT. KRAMA YUDHA TIGA BERLIAN MOTORS,MITSUBISHI FUSO,FI 1217 (4X2) M/T,"3,907",MT,D,160,"12,700","6,330","8.25-20,16 PR",170,"3,760",3.760 X 6.035 X 2.225,3,4X2,FR,80,2,6,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,FJ 2523 (6X2) M/T,"6,373",MT,D,380,"25,000","5,875",10/R20/ 16PR,230,"7,050",11.967X2490X2960,3,6X2,FR,90,2,10,CBU,India,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
7,PT. ASTRA DAIHATSU MOTOR,DAIHATSU,All New Sirion MT 2022,"1,329",MT,G,36,980,"4,267",185/55 R15,95,"2,500",3895X1735X1525,5,4X2,FF,-,5,4,CBU,Malaysia,-,-,-,-,40,30,30,60,60,23,-,-,243
,,,All New Sirion CVT 2022,"1,329",AT,G,36,"1,000","4,032",185/55 R15,95,"2,500",3895X1735X1525,5,4X2,FF,-,5,4,CBU,Malaysia,-,-,-,79,21,10,30,70,120,119,50,-,499
,,,TOTAL,,,,,,,,,,,,,,,,,,,-,-,-,79,61,40,60,130,180,142,50,-,742
8,PT. TJAHJA SAKTI MOTOR,BMW,M135i xDrive A/T,"1,998",AT,G,50,"2,085",-,225/40 R18 92Y,306,"2,670",4319x1799x1434,-,4X4,4WD,-,3,4,CBU,Germany,-,-,1,-,-,3,-,-,-,-,-,-,4
,,,220i Coupe A/T,"1,998",AT,G,52,"1,965",-,225/45 R18 95Y; 255/40 R18 99Y,184,"2,741",4537 x 1838 x 1390,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,-,7,3,-,-,-,-,-,10
,,,M3 A/T,"2,993",AT,G,59,"2,210",-,275/35 ZR19 100Y; 285/30 ZR20 99Y,510,"2,857",4794 x 1903 x 1433,-,4X2,FR,-,-,4,CBU,Germany,-,-,3,3,-,18,4,1,-,-,-,-,29
,,,M4 CSL A/T,"2,993",AT,G,59,"1,970",-,275/35 ZR19 100Y; 285/30 ZR20 99Y,551,"2,857",4794 x 1921 x 1386,2,4X2,FR,-,2,4,CBU,Germany,-,-,-,-,-,-,-,-,-,1,-,-,1
,,,M4 Coupe A/T,"2,993",AT,G,59,"2,155",-,275/35 ZR19 100Y; 285/30 ZR20 99Y,510,"2,857",4794 x 1887 x 1393,-,4X2,FR,-,-,4,CBU,Germany,-,-,13,1,-,8,4,9,-,15,34,19,103
,,,430i Convertible A/T,"1,998",AT,G,59,"2,200",-,225/40 R19 93Y; 255/35 R19 96Y,258,"2,851",4768 x 1852 x 1384,-,4X2,FR,-,-,4,CBU,Germany,-,-,6,3,-,9,4,3,-,-,-,-,25
,,,430i Coupe A/T,"1,998",AT,G,59,"2,030",-,225/40 R19 93Y; 255/35 R19 96Y,258,"2,851",4768 x 1852 x 1383,-,4X2,FR,-,-,4,CBU,Germany,-,-,7,6,-,12,5,2,-,8,-,-,40
,,,M5 A/T,"4,395",AT,G,68,"2,440",-,275/35 ZR20 102Y; 285/35 ZR20 104Y,625,"2,982",4983 x 1903 x 1473,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,1,-,-,1
,,,530i Touring RHD A/T,"1,998",AT,G,68,"2,425",-,245/40 R19 98Y; 275/35 R19 100Y,252,"2,975",4963 x 1868 x 1498,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,6,-,16,1,2,-,-,-,-,25
,,,740Li A/T,"2,998",AT,G,78,"2,500",-,245/40 R20 99Y; 275/35 R20 102Y,340,"3,210",5260x1902x1479,-,4X2,FR,-,-,4,CBU,Germany,-,-,-,-,-,1,-,-,-,-,-,-,1
,,,M8 Coupe A/T,"4,395",AT,G,68,"2,385",-,275/35 ZR20 102Y; 285/35 ZR20 104Y,625,"2,827",4867x1907x1362,-,4X4,4WD,-,-,4,CBU,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-
